,Unnamed: 0,Country,Year,GDP,PP,UNE_Y15-24,UNE_Y25-39,UNE_Y40-64,UNE_TOTAL,EM_P,CRI_TOT,CRI_A60,CRI_B60,UNE_EDL0-2,UNE_EDL3_4,UNE_EDL5-8
0,0,AT,2008,36280,3.7,8.5,4.2,3,4.1,0.62,11,10.8,12,8.4,3.6,1.9
1,1,BE,2008,33640,6.2,18,7.3,4.9,7,0.48,15.8,15.1,19.7,12.4,6.9,3.6
2,2,BG,2008,5140,2.9,12.7,5.3,4.8,5.6,0.51,24.7,23.9,27.6,14.6,4.5,2.3
3,3,CY,2008,24680,1.1,9,3.7,2.7,3.7,0.41,10.1,10.4,8.4,4.9,3.6,3
4,4,CZ,2008,15500,7.4,9.9,4.2,3.8,4.4,0.5,13.9,13.2,20.7,19.1,3.7,1.7
5,5,DE,2008,32320,3.6,10.6,7.5,7.1,7.5,0.9,13,11.6,20.8,15.3,7.2,3.3
6,6,DK,2008,45700,7.3,9.5,3.2,2.3,3.7,0.7,16.2,16.3,15.2,6.1,3,2.2
7,7,EE,2008,12640,7.9,12,4.9,4.6,5.5,0.33,17.2,16.9,18.5,12.1,5.7,2.9
8,8,EL,2008,22560,6.7,21.9,9.4,4.4,7.8,0.39,12,12.6,9.4,7.5,8.9,6.4
9,9,ES,2008,24200,3.7,24.5,11,8.5,11.3,0.63,14.7,14.9,13.8,15.3,10.5,6.3
11,11,EU28,2008,26250,-101,15.8,6.9,5.3,7,0.6,13.8,13.6,15.4,11.3,6.5,3.8
12,12,FI,2008,37330,5.8,16.5,5.4,4.7,6.4,0.26,13.1,12.5,16.6,12.5,6.4,3.3
13,13,FR,2008,31310,7.5,18.3,7.1,4.8,7.1,0.37,14.8,14,20.7,11.1,6.6,4.3
14,14,HR,2008,11470,7.1,23.7,8.1,6.2,8.6,0.25,4.2,4.4,3.6,9.9,9.2,5
15,15,HU,2008,10500,2.9,19.5,7.6,6.3,7.8,0.1,13.1,12.6,16.7,18.9,7.1,2.7
16,16,IE,2008,38600,6.1,13.5,6.3,4.4,6.8,1.47,12.2,12.1,12.8,10.8,7.1,3.8
17,17,IT,2008,28230,7.4,21.2,7.6,4.1,6.7,0.14,14.2,13.4,17.7,8.4,6.1,4.5
18,18,LT,2008,10110,7.4,13.3,5,5.2,5.8,0.8,5.1,5.3,4.2,12.5,6.7,2.9
19,19,LU,2008,81880,6.4,17.9,5,3.2,5.1,2.06,10.6,10.6,10.7,6.6,5.9,2.5
20,20,LV,2008,10010,7.8,13.6,7.7,6.8,7.7,1.24,28.7,29.3,27,14.7,7.8,4.1
21,21,MT,2008,15960,5.7,11.7,4.4,5.1,6,0.91,9.7,10,7.7,8.2,4.2,1.3
22,22,NL,2008,39810,5.9,8.6,2.2,3,3.7,0.55,14.8,14.5,17.4,5.9,3.3,2.1
23,23,PL,2008,8910,6.2,17.3,6.4,5.6,7.1,0.08,7.3,7.1,8.4,12.1,7.5,3.8
24,24,PT,2008,17260,4,16.7,8,6.4,7.7,0.19,11.7,12,10.8,7.9,7.8,6.8
25,25,RO,2008,6730,5.4,18.6,5.5,3.9,5.8,1.47,13.1,13.1,13.3,7.1,6,2.7
26,26,SE,2008,40100,3.4,20.2,5,3.7,6.2,0.49,13.6,12.8,19.1,12.8,5.4,3.5
27,27,SI,2008,19190,3.1,10.4,4.5,3.1,4.4,0.6,8.7,8.7,8.3,6.2,4.4,3.4
28,28,SK,2008,12600,3.4,19,9.2,7.8,9.5,0.03,9.3,9,11.5,39.3,8.1,3.5
29,29,UK,2008,30940,4.4,15,4.8,3.4,5.6,0.69,24.8,24.2,27.4,10,5.5,2.8
30,30,AT,2009,34830,3.7,10.7,5.4,3.9,5.3,0.64,15.1,15.5,12.8,10.7,4.6,2.6
31,31,BE,2009,32700,6.2,21.9,8.3,5.2,7.9,0.58,16.9,15.5,24.9,13.6,8.1,4.5
32,32,BG,2009,4990,7.4,16.2,6.4,5.8,6.8,0.53,28.6,28.5,29,15.5,6.2,2.9
33,33,CY,2009,23550,1.1,13.8,5,4.2,5.4,0.44,8.3,8.6,6.4,6.1,5.7,4.6
34,34,CZ,2009,14690,7.4,16.6,6.6,5.3,6.7,0.59,17.9,17.6,21.3,24.1,6.1,2.4
35,35,DE,2009,30580,6.3,11.2,8,7.1,7.8,0.35,12.7,11.1,21,15.7,7.6,3.4
36,36,DK,2009,43220,7.3,13.5,6.4,4.6,6.4,0.72,16.5,16.2,18.9,10,5.9,3.7
37,37,EE,2009,10830,7.9,27.4,12.7,11.9,13.5,0.35,19.3,19.9,16.9,28.1,15.7,6.2
38,38,EL,2009,21530,4.5,25.7,11.3,6.1,9.6,0.39,16.3,17,13.4,9.5,11.1,7.5
39,39,ES,2009,23100,3.7,37.7,18.2,13.6,17.9,0.82,16.4,16.6,15.4,24.5,16.8,9.7
41,41,EU28,2009,25030,-101,20.2,9.2,6.6,8.9,0.7,15.3,15.1,17,14.5,8.4,5
42,42,FI,2009,34150,5.8,21.5,7.3,6,8.2,0.23,13.7,12.7,19.6,14.8,9.1,4
43,43,FR,2009,30250,7.5,22.9,8.8,5.8,8.7,0.41,15.3,14.6,20.2,13.6,8.4,5.3
44,44,HR,2009,10630,7.1,25.2,9.4,6.4,9.2,0.29,3.9,4.0,3.6,9.9,10,6.2
45,45,HU,2009,9810,2.9,26.4,9.8,8,10,0.1,11.6,10.6,18.9,23.2,9.4,3.9
46,46,IE,2009,36300,6.1,24.5,12.4,8.5,12.6,1.54,14.5,14.1,16.6,18.2,14.7,7.3
47,47,IT,2009,26590,7.4,25.3,9,4.6,7.8,0.14,15.9,15.1,19.5,9.5,7.3,5.4
48,48,LT,2009,8710,7.4,29.6,13.3,11.8,13.8,1.22,6.5,6.6,6.4,29.7,16.4,6
